SensorID,Timestamp,SensorType,Value,Location
1,2024-01-01 00:00:00,Light,79.63217053691564,Field3
2,2024-01-01 01:00:00,Temperature,0.6450259431536542,Field1
3,2024-01-01 02:00:00,SoilPH,94.84965180581636,Field1
4,2024-01-01 03:00:00,SoilPH,76.63760609271043,Field1
5,2024-01-01 04:00:00,SoilPH,11.79829552623759,Field4
6,2024-01-01 05:00:00,Humidity,67.81603903333956,Field4
7,2024-01-01 06:00:00,SoilPH,14.948116452139338,Field1
8,2024-01-01 07:00:00,SoilMoisture,80.79195734539273,Field2
9,2024-01-01 08:00:00,Light,7.02342041410926,Field1
10,2024-01-01 09:00:00,Temperature,19.29942346596495,Field4
11,2024-01-01 10:00:00,Temperature,54.69525633430117,Field2
12,2024-01-01 11:00:00,Light,38.106035263692526,Field2
13,2024-01-01 12:00:00,SoilMoisture,35.5489734436766,Field4
14,2024-01-01 13:00:00,Humidity,34.86839431544411,Field2
15,2024-01-01 14:00:00,Temperature,7.108818684557927,Field4
16,2024-01-01 15:00:00,Humidity,15.743110653269865,Field4
17,2024-01-01 16:00:00,Humidity,40.26042711037767,Field4
18,2024-01-01 17:00:00,Temperature,49.646680197952534,Field3
19,2024-01-01 18:00:00,Humidity,3.762732217782927,Field2
20,2024-01-01 19:00:00,Light,88.32624719493646,Field1
21,2024-01-01 20:00:00,SoilPH,49.619798131255955,Field2
22,2024-01-01 21:00:00,Temperature,2.3817426884050863,Field2
23,2024-01-01 22:00:00,SoilPH,54.79117255009777,Field4
24,2024-01-01 23:00:00,Temperature,72.09334582226587,Field1
25,2024-01-02 00:00:00,SoilMoisture,29.526776477057183,Field4
26,2024-01-02 01:00:00,SoilPH,81.81714030893036,Field4
27,2024-01-02 02:00:00,Temperature,77.90575434100604,Field1
28,2024-01-02 03:00:00,Humidity,88.56255738207525,Field2
29,2024-01-02 04:00:00,SoilPH,56.951093451928436,Field3
30,2024-01-02 05:00:00,SoilPH,37.013750677797276,Field3
31,2024-01-02 06:00:00,SoilPH,33.67534732392395,Field4
32,2024-01-02 07:00:00,Temperature,2.5452303633292206,Field4
33,2024-01-02 08:00:00,Humidity,1.098695651170123,Field2
34,2024-01-02 09:00:00,Humidity,4.507928431424569,Field2
35,2024-01-02 10:00:00,Humidity,28.438902537943633,Field3
36,2024-01-02 11:00:00,Temperature,78.29653446983382,Field1
37,2024-01-02 12:00:00,SoilMoisture,8.810912836932506,Field1
38,2024-01-02 13:00:00,Light,36.6046455056664,Field4
39,2024-01-02 14:00:00,SoilPH,51.24931644931673,Field2
40,2024-01-02 15:00:00,SoilPH,31.161131345644687,Field3
41,2024-01-02 16:00:00,SoilMoisture,26.198639550248203,Field2
42,2024-01-02 17:00:00,Light,23.322240570972564,Field4
43,2024-01-02 18:00:00,SoilMoisture,89.0436758077628,Field3
44,2024-01-02 19:00:00,Temperature,28.239436109691052,Field3
45,2024-01-02 20:00:00,Temperature,54.9078610372587,Field2
46,2024-01-02 21:00:00,Light,17.6207948313036,Field1
47,2024-01-02 22:00:00,Temperature,51.18908745574352,Field1
48,2024-01-02 23:00:00,Light,82.66763705135455,Field2
49,2024-01-03 00:00:00,Humidity,30.640899311042837,Field4
50,2024-01-03 01:00:00,Light,2.2811463014829725,Field2
51,2024-01-03 02:00:00,Humidity,52.82791479145425,Field4
52,2024-01-03 03:00:00,SoilMoisture,77.98731182078276,Field4
53,2024-01-03 04:00:00,SoilMoisture,84.99887609226413,Field3
54,2024-01-03 05:00:00,Temperature,61.68950122541762,Field4
55,2024-01-03 06:00:00,Humidity,32.13750827266186,Field2
56,2024-01-03 07:00:00,Humidity,73.12350392664779,Field3
57,2024-01-03 08:00:00,Humidity,99.21156880985306,Field2
58,2024-01-03 09:00:00,Humidity,52.53618370047912,Field4
59,2024-01-03 10:00:00,SoilPH,5.146793820786688,Field2
60,2024-01-03 11:00:00,SoilPH,87.94946823888465,Field2
61,2024-01-03 12:00:00,SoilMoisture,48.13468421843863,Field2
62,2024-01-03 13:00:00,SoilPH,4.435429388759859,Field3
63,2024-01-03 14:00:00,Temperature,80.4711976661149,Field3
64,2024-01-03 15:00:00,SoilPH,41.33383687617199,Field1
65,2024-01-03 16:00:00,Light,58.74846420897306,Field3
66,2024-01-03 17:00:00,Humidity,16.33825002541244,Field1
67,2024-01-03 18:00:00,SoilMoisture,45.8115034005172,Field2
68,2024-01-03 19:00:00,Light,24.058238647673203,Field4
69,2024-01-03 20:00:00,SoilPH,29.77086374523029,Field4
70,2024-01-03 21:00:00,Light,3.8402438540051875,Field3
71,2024-01-03 22:00:00,Light,98.33070581557243,Field1
72,2024-01-03 23:00:00,Light,44.15995592876415,Field3
73,2024-01-04 00:00:00,SoilPH,90.38884098842527,Field2
74,2024-01-04 01:00:00,Light,31.8954991013232,Field2
75,2024-01-04 02:00:00,Light,62.3038920017661,Field2
76,2024-01-04 03:00:00,Light,50.63519864867509,Field3
77,2024-01-04 04:00:00,Temperature,97.97910410393928,Field1
78,2024-01-04 05:00:00,Light,29.501001167555184,Field2
79,2024-01-04 06:00:00,SoilPH,91.19939945580585,Field3
80,2024-01-04 07:00:00,SoilMoisture,96.37700078692613,Field1
81,2024-01-04 08:00:00,Temperature,78.84171658407527,Field3
82,2024-01-04 09:00:00,Humidity,42.81087560405563,Field4
83,2024-01-04 10:00:00,Humidity,83.41823021216706,Field2
84,2024-01-04 11:00:00,SoilPH,25.453201733586884,Field3
85,2024-01-04 12:00:00,Temperature,71.33743707746834,Field3
86,2024-01-04 13:00:00,Temperature,73.31854939064924,Field1
87,2024-01-04 14:00:00,Humidity,57.67699273519015,Field4
88,2024-01-04 15:00:00,SoilMoisture,97.51899855343615,Field1
89,2024-01-04 16:00:00,Light,31.94066020142039,Field2
90,2024-01-04 17:00:00,SoilMoisture,39.50362159365034,Field1
91,2024-01-04 18:00:00,Temperature,16.48214112002161,Field3
92,2024-01-04 19:00:00,SoilPH,71.19537434074101,Field2
93,2024-01-04 20:00:00,SoilMoisture,67.34122351015911,Field3
94,2024-01-04 21:00:00,SoilMoisture,16.487271460632734,Field2
95,2024-01-04 22:00:00,Temperature,6.0699582666180145,Field2
96,2024-01-04 23:00:00,Humidity,83.95487958554935,Field1
97,2024-01-05 00:00:00,Temperature,78.57031687672905,Field2
98,2024-01-05 01:00:00,SoilMoisture,44.07547456940113,Field1
99,2024-01-05 02:00:00,SoilMoisture,76.09571171828942,Field2
100,2024-01-05 03:00:00,SoilPH,62.44881343491356,Field3
101,2024-01-05 04:00:00,SoilMoisture,90.24858597112174,Field1
102,2024-01-05 05:00:00,SoilPH,7.232773184833697,Field2
103,2024-01-05 06:00:00,SoilMoisture,28.163692733096347,Field2
104,2024-01-05 07:00:00,Humidity,78.1686181778019,Field3
105,2024-01-05 08:00:00,SoilMoisture,81.1919750132262,Field2
106,2024-01-05 09:00:00,SoilPH,94.63473976166324,Field2
107,2024-01-05 10:00:00,SoilPH,92.92458529174654,Field3
108,2024-01-05 11:00:00,SoilPH,9.008920085286453,Field3
109,2024-01-05 12:00:00,SoilMoisture,58.87457134409955,Field1
110,2024-01-05 13:00:00,SoilPH,93.89514688052225,Field2
111,2024-01-05 14:00:00,Light,31.609910889898696,Field4
112,2024-01-05 15:00:00,Humidity,45.86861095417875,Field1
113,2024-01-05 16:00:00,SoilMoisture,41.34859273621492,Field3
114,2024-01-05 17:00:00,SoilPH,99.65429066432031,Field4
115,2024-01-05 18:00:00,Humidity,48.94679144157453,Field1
116,2024-01-05 19:00:00,SoilMoisture,47.51751311082747,Field4
117,2024-01-05 20:00:00,Humidity,97.37422766504635,Field3
118,2024-01-05 21:00:00,Light,98.49015648963008,Field4
119,2024-01-05 22:00:00,SoilMoisture,4.035532669409248,Field4
120,2024-01-05 23:00:00,SoilPH,65.18290295457025,Field4
121,2024-01-06 00:00:00,Temperature,89.01525087721151,Field3
122,2024-01-06 01:00:00,SoilPH,53.45634606461211,Field3
123,2024-01-06 02:00:00,SoilMoisture,51.708263115383915,Field2
124,2024-01-06 03:00:00,SoilPH,72.40738528168113,Field4
125,2024-01-06 04:00:00,Temperature,82.51899006799064,Field3
126,2024-01-06 05:00:00,Temperature,92.26924473551,Field3
127,2024-01-06 06:00:00,Temperature,9.90752098893658,Field2
128,2024-01-06 07:00:00,SoilPH,76.86909744664963,Field3
129,2024-01-06 08:00:00,SoilMoisture,39.08975257618826,Field3
130,2024-01-06 09:00:00,SoilPH,6.058005820709511,Field3
131,2024-01-06 10:00:00,Temperature,70.35738036379944,Field2
132,2024-01-06 11:00:00,Light,9.635272278929962,Field1
133,2024-01-06 12:00:00,Temperature,80.51220284766406,Field2
134,2024-01-06 13:00:00,Temperature,20.572575348797773,Field1
135,2024-01-06 14:00:00,SoilMoisture,11.500918688566763,Field2
136,2024-01-06 15:00:00,SoilPH,66.64797644647584,Field1
137,2024-01-06 16:00:00,SoilMoisture,87.35605079461327,Field2
138,2024-01-06 17:00:00,SoilPH,70.17186541530526,Field3
139,2024-01-06 18:00:00,Temperature,42.6944169884965,Field1
140,2024-01-06 19:00:00,Temperature,66.68235309306073,Field3
141,2024-01-06 20:00:00,Temperature,27.153158385846453,Field2
142,2024-01-06 21:00:00,SoilPH,81.76514197064296,Field4
143,2024-01-06 22:00:00,Temperature,1.8436862970696466,Field3
144,2024-01-06 23:00:00,SoilMoisture,63.41467351864642,Field1
145,2024-01-07 00:00:00,SoilMoisture,65.47574230999227,Field1
146,2024-01-07 01:00:00,Temperature,93.05804768943943,Field1
147,2024-01-07 02:00:00,Light,51.76551037978182,Field3
148,2024-01-07 03:00:00,SoilPH,71.38621899643552,Field3
149,2024-01-07 04:00:00,Light,86.19008312776919,Field1
150,2024-01-07 05:00:00,Temperature,28.733347168070146,Field1
151,2024-01-07 06:00:00,Light,65.57767992772114,Field4
152,2024-01-07 07:00:00,SoilPH,75.46835743489791,Field2
153,2024-01-07 08:00:00,SoilPH,19.887008275597406,Field4
154,2024-01-07 09:00:00,Light,84.35953505636874,Field2
155,2024-01-07 10:00:00,Humidity,57.41212570128539,Field4
156,2024-01-07 11:00:00,SoilPH,56.066120343599245,Field4
157,2024-01-07 12:00:00,Temperature,35.774551930979804,Field3
158,2024-01-07 13:00:00,Temperature,9.53630173045571,Field4
159,2024-01-07 14:00:00,Temperature,69.21622539493852,Field2
160,2024-01-07 15:00:00,Humidity,37.127127418174766,Field3
161,2024-01-07 16:00:00,Temperature,52.32326052316879,Field1
162,2024-01-07 17:00:00,Light,98.14182773819381,Field1
163,2024-01-07 18:00:00,Humidity,27.831621131117025,Field2
164,2024-01-07 19:00:00,SoilPH,13.236127207836223,Field3
165,2024-01-07 20:00:00,Humidity,13.957873237275443,Field2
166,2024-01-07 21:00:00,Temperature,37.36861551963205,Field2
167,2024-01-07 22:00:00,Temperature,91.87689838072238,Field2
168,2024-01-07 23:00:00,Light,34.724542321472505,Field3
169,2024-01-08 00:00:00,SoilPH,4.78977915791019,Field4
170,2024-01-08 01:00:00,SoilPH,70.24981957195654,Field3
171,2024-01-08 02:00:00,Humidity,73.30628644242034,Field4
172,2024-01-08 03:00:00,Temperature,79.89954102799403,Field2
173,2024-01-08 04:00:00,Temperature,51.54915711297089,Field2
174,2024-01-08 05:00:00,Humidity,57.38853071785789,Field4
175,2024-01-08 06:00:00,SoilMoisture,55.03937440742088,Field3
176,2024-01-08 07:00:00,Temperature,44.654583349611734,Field3
177,2024-01-08 08:00:00,SoilPH,54.894725988015736,Field4
178,2024-01-08 09:00:00,Humidity,61.3924441065169,Field2
179,2024-01-08 10:00:00,Humidity,1.1647359819004666,Field1
180,2024-01-08 11:00:00,Light,98.48317434020836,Field4
